respondent_id,xyz_vaccine_prob,seasonal_vaccine_prob
26707,0.09609194,0.24285622
26708,0.02098988,0.02978891
26709,0.33008006,0.8239296
26710,0.63495135,0.7860669
26711,0.2626585,0.5650395
26712,0.63381255,0.91560435
26713,0.27499774,0.3481902
26714,0.106479704,0.16941611
26715,0.025116188,0.11558037
26716,0.21524702,0.85537297
26717,0.0095642805,0.4729148
26718,0.2895566,0.47430858
26719,0.042788394,0.89274216
26720,0.047416523,0.30793104
26721,0.2912927,0.45740595
26722,0.042413786,0.11903587
26723,0.74545515,0.7998301
26724,0.12003424,0.8147763
26725,0.0743771,0.10504095
26726,0.015297942,0.078558125
26727,0.36924386,0.81610876
26728,0.28945193,0.519107
26729,0.3631118,0.84195125
26730,0.042580917,0.14514877
26731,0.010874771,0.35631183
26732,0.25003204,0.11995014
26733,0.8276243,0.9434415
26734,0.7536367,0.34615433
26735,0.12167092,0.32750174
26736,0.046785295,0.15915269
26737,0.047827315,0.11908256
26738,0.64334786,0.7853645
26739,0.06009112,0.09260179
26740,0.19142106,0.18684626
26741,0.17235348,0.8631097
26742,0.13001399,0.28537214
26743,0.05022782,0.6408355
26744,0.07807704,0.69123894
26745,0.13919367,0.91980565
26746,0.11754097,0.58839107
26747,0.042765256,0.21542485
26748,0.0995002,0.11425592
26749,0.052037988,0.65430605
26750,0.64811224,0.7856021
26751,0.34953663,0.7380458
26752,0.042438153,0.09581511
26753,0.1708788,0.6418556
26754,0.09879579,0.4786128
26755,0.10313456,0.24012604
26756,0.019285671,0.040629987
26757,0.63073754,0.6055372
26758,0.49685648,0.8090216
26759,0.024285305,0.1416865
26760,0.0075450204,0.035597995
26761,0.28161538,0.644356
26762,0.2014087,0.7885968
26763,0.76355314,0.8880372
26764,0.80720145,0.9088226
26765,0.08122056,0.48612428
26766,0.14417908,0.11879517
26767,0.7393532,0.7740997
26768,0.0058229216,0.3293935
26769,0.054656804,0.061775375
26770,0.105660215,0.55249614
26771,0.08376406,0.29767674
26772,0.037363116,0.4671343
26773,0.020928355,0.53463584
26774,0.022881089,0.44525677
26775,0.112269856,0.32632166
26776,0.5905608,0.4813708
26777,0.1305826,0.8654859
26778,0.09134162,0.08438482
26779,0.111446545,0.5184221
26780,0.16831608,0.9255709
26781,0.046633173,0.30310422
26782,0.060291577,0.22202094
26783,0.060358707,0.27185798
26784,0.4881513,0.8368896
26785,0.4254011,0.65053856
26786,0.1511013,0.24851036
26787,0.1393462,0.6966183
26788,0.10941085,0.886359
26789,0.0122313555,0.2675213
26790,0.052488413,0.13624613
26791,0.046539273,0.049427606
26792,0.18407814,0.6167318
26793,0.07764123,0.90040886
26794,0.7978736,0.8129869
